rpm,doc,feed,chatter
114,0.2,0.04,0
114,0.2,0.32,0
114,0.2,0.64,0
114,0.2,1.04,0
114,0.4,0.04,0
114,0.4,0.06,0
114,0.4,0.16,0
114,0.8,0.04,0
1210,0.4,1.04,0
1210,0.6,1.04,0
1210,0.8,1.04,0
1210,1,1.04,1
148,0.2,0.64,0
148,0.3,0.72,0
148,0.3,0.92,0
148,0.4,0.16,0
148,0.4,0.24,0
148,0.6,0.52,0
148,0.6,0.56,0
148,0.8,0.16,0
192,0.4,0.56,0
192,0.4,0.72,0
250,0.1,0.64,0
250,0.2,1.04,0
250,0.4,1.04,0
420,0.4,0.64,0
420,1,0.64,0
420,1,1.04,0
550,0.4,1.04,0
715,0.4,1.04,0
715,0.6,0.64,0
715,0.6,1.04,0
88,0.1,0.16,0
88,0.1,0.32,0
88,0.1,0.64,0
88,0.2,0.16,0
88,0.2,0.32,0
88,0.2,0.64,0
88,0.2,1.04,0
88,0.3,0.08,0
930,0.6,0.64,0
